# Created by CAVA2.0.11 based on MANE release 1.1
GENEID	SYMBOL	Transcript	Protein
ADAMTS8	ADAMTS8	NM_007037.6	NP_008968.4
ADAMTS15	ADAMTS15	NM_139055.4	NP_620686.1
SNX19	SNX19	NM_014758.3	NP_055573.3
NTM	NTM	NM_001352005.2	NP_001338934.1
OPCML	OPCML	NM_001012393.5	NP_001012393.1
SPATA19	SPATA19	NM_174927.3	NP_777587.1
IGSF9B	IGSF9B	NM_001277285.4	NP_001264214.1
JAM3	JAM3	NM_032801.5	NP_116190.3
NCAPD3	NCAPD3	NM_015261.3	NP_056076.1
VPS26B	VPS26B	NM_052875.5	NP_443107.1
THYN1	THYN1	NM_014174.3	NP_054893.1
ACAD8	ACAD8	NM_014384.3	NP_055199.1
GLB1L3	GLB1L3	NM_001080407.3	NP_001073876.2
GLB1L2	GLB1L2	NM_001370461.1	NP_001357390.1
B3GAT1	B3GAT1	NM_054025.3	NP_473366.1
IQSEC3	IQSEC3	NM_001170738.2	NP_001164209.1
SLC6A12	SLC6A12	NM_001122848.3	NP_001116320.1
SLC6A13	SLC6A13	NM_016615.5	NP_057699.2
KDM5A	KDM5A	NM_001042603.3	NP_001036068.1
CCDC77	CCDC77	NM_032358.4	NP_115734.1
B4GALNT3	B4GALNT3	NM_173593.4	NP_775864.3
NINJ2	NINJ2	NM_016533.6	NP_057617.3
WNK1	WNK1	NM_213655.5	NP_998820.3
WNK1	WNK1	NM_018979.4	NP_061852.3
RAD52	RAD52	NM_134424.4	NP_602296.2
ERC1	ERC1	NM_178040.4	NP_829884.1
FBXL14	FBXL14	NM_152441.3	NP_689654.1
WNT5B	WNT5B	NM_032642.3	NP_116031.1
ADIPOR2	ADIPOR2	NM_024551.3	NP_078827.2
CACNA2D4	CACNA2D4	NM_172364.5	NP_758952.4
LRTM2	LRTM2	NM_001039029.3	NP_001034118.1
DCP1B	DCP1B	NM_152640.5	NP_689853.3
CACNA1C	CACNA1C	NM_001167623.2	NP_001161095.1
CACNA1C	CACNA1C	NM_000719.7	NP_000710.5
FKBP4	FKBP4	NM_002014.4	NP_002005.1
ITFG2	ITFG2	NM_018463.4	NP_060933.3
NRIP2	NRIP2	NM_031474.3	NP_113662.1
TEX52	TEX52	NM_001365174.2	NP_001352103.1
FOXM1	FOXM1	NM_021953.4	NP_068772.2
RHNO1	RHNO1	NM_001252499.3	NP_001239428.1
TULP3	TULP3	NM_003324.5	NP_003315.2
TEAD4	TEAD4	NM_003213.4	NP_003204.2
TSPAN9	TSPAN9	NM_006675.5	NP_006666.1
PRMT8	PRMT8	NM_019854.5	NP_062828.3
CRACR2A	CRACR2A	NM_001144958.2	NP_001138430.1
PARP11	PARP11	NM_020367.6	NP_065100.2
CCND2	CCND2	NM_001759.4	NP_001750.1
TIGAR	TIGAR	NM_020375.3	NP_065108.1
FGF23	FGF23	NM_020638.3	NP_065689.1
FGF6	FGF6	NM_020996.3	NP_066276.2
C12orf4	C12orf4	NM_020374.4	NP_065107.1
RAD51AP1	RAD51AP1	NM_006479.5	NP_006470.1
DYRK4	DYRK4	NM_001394779.1	NP_001381708.1
AKAP3	AKAP3	NM_001278309.2	NP_001265238.2
NDUFA9	NDUFA9	NM_005002.5	NP_004993.1
GALNT8	GALNT8	NM_017417.2	NP_059113.1
KCNA6	KCNA6	NM_002235.5	NP_002226.1
KCNA1	KCNA1	NM_000217.3	NP_000208.2
KCNA5	KCNA5	NM_002234.4	NP_002225.2
NTF3	NTF3	NM_001102654.2	NP_001096124.1
ANO2	ANO2	NM_001364791.2	NP_001351720.1
VWF	VWF	NM_000552.5	NP_000543.3
CD9	CD9	NM_001769.4	NP_001760.1
PLEKHG6	PLEKHG6	NM_001384598.1	NP_001371527.1
TNFRSF1A	TNFRSF1A	NM_001065.4	NP_001056.1
SCNN1A	SCNN1A	NM_001038.6	NP_001029.1
LTBR	LTBR	NM_002342.3	NP_002333.1
CD27	CD27	NM_001242.5	NP_001233.2
TAPBPL	TAPBPL	NM_018009.5	NP_060479.3
VAMP1	VAMP1	NM_014231.5	NP_055046.1
MRPL51	MRPL51	NM_016497.4	NP_057581.2
NCAPD2	NCAPD2	NM_014865.4	NP_055680.3
GAPDH	GAPDH	NM_002046.7	NP_002037.2
IFFO1	IFFO1	NM_001193457.2	NP_001180386.1
NOP2	NOP2	NM_001258308.2	NP_001245237.1
CHD4	CHD4	NM_001273.5	NP_001264.2
LPAR5	LPAR5	NM_020400.6	NP_065133.1
ACRBP	ACRBP	NM_032489.3	NP_115878.2
ING4	ING4	NM_016162.4	NP_057246.2
ZNF384	ZNF384	NM_001385745.1	NP_001372674.1
PIANP	PIANP	NM_001244014.2	NP_001230943.1
COPS7A	COPS7A	NM_001164094.2	NP_001157566.1
MLF2	MLF2	NM_001382226.1	NP_001369155.1
PTMS	PTMS	NM_002824.6	NP_002815.3
LAG3	LAG3	NM_002286.6	NP_002277.4
CD4	CD4	NM_000616.5	NP_000607.1
GPR162	GPR162	NM_019858.2	NP_062832.1
P3H3	P3H3	NM_014262.5	NP_055077.2
GNB3	GNB3	NM_002075.4	NP_002066.1
CDCA3	CDCA3	NM_031299.7	NP_112589.1
USP5	USP5	NM_001098536.2	NP_001092006.1
TPI1	TPI1	NM_000365.6	NP_000356.1
SPSB2	SPSB2	NM_032641.4	NP_116030.1
LRRC23	LRRC23	NM_001135217.2	NP_001128689.1
ENO2	ENO2	NM_001975.3	NP_001966.1
ATN1	ATN1	NM_001940.4	NP_001931.2
C12orf57	C12orf57	NM_138425.4	NP_612434.1
PTPN6	PTPN6	NM_002831.6	NP_002822.2
PHB2	PHB2	NM_001144831.2	NP_001138303.1
EMG1	EMG1	NM_006331.8	NP_006322.4
LPCAT3	LPCAT3	NM_005768.6	NP_005759.4
C1S	C1S	NM_001734.5	NP_001725.1
C1R	C1R	NM_001733.7	NP_001724.4
C1RL	C1RL	NM_016546.4	NP_057630.2
RBP5	RBP5	NM_031491.4	NP_113679.1
CLSTN3	CLSTN3	NM_014718.4	NP_055533.2
PEX5	PEX5	NM_001351132.2	NP_001338061.1
ACSM4	ACSM4	NM_001080454.2	NP_001073923.1
CD163L1	CD163L1	NM_174941.6	NP_777601.3
CD163	CD163	NM_203416.4	NP_981961.2
APOBEC1	APOBEC1	NM_001644.5	NP_001635.2
GDF3	GDF3	NM_020634.3	NP_065685.1
DPPA3	DPPA3	NM_199286.4	NP_954980.1
CLEC4C	CLEC4C	NM_001371390.1	NP_001358319.1
NANOGNB	NANOGNB	NM_001145465.1	NP_001138937.1
NANOG	NANOG	NM_024865.4	NP_079141.2
SLC2A14	SLC2A14	NM_001286234.2	NP_001273163.1
SLC2A3	SLC2A3	NM_006931.3	NP_008862.1
FOXJ2	FOXJ2	NM_018416.3	NP_060886.1
C3AR1	C3AR1	NM_004054.4	NP_004045.1
NECAP1	NECAP1	NM_015509.4	NP_056324.2
CLEC4A	CLEC4A	NM_016184.4	NP_057268.1
ZNF705A	ZNF705A	NM_001004328.3	NP_001004328.1
FAM90A1	FAM90A1	NM_018088.3	NP_060558.3
CLEC6A	CLEC6A	NM_001007033.2	NP_001007034.1
CLEC4D	CLEC4D	NM_080387.5	NP_525126.2
CLEC4E	CLEC4E	NM_014358.4	NP_055173.1
AICDA	AICDA	NM_020661.4	NP_065712.1
MFAP5	MFAP5	NM_003480.4	NP_003471.1
RIMKLB	RIMKLB	NM_001297776.2	NP_001284705.1
A2ML1	A2ML1	NM_144670.6	NP_653271.3
PHC1	PHC1	NM_004426.3	NP_004417.2
M6PR	M6PR	NM_002355.4	NP_002346.1
KLRG1	KLRG1	NM_005810.4	NP_005801.3
A2M	A2M	NM_000014.6	NP_000005.3
PZP	PZP	NM_002864.3	NP_002855.2
KLRB1	KLRB1	NM_002258.3	NP_002249.1
CLEC2D	CLEC2D	NM_013269.6	NP_037401.1
CD69	CD69	NM_001781.2	NP_001772.1
KLRF1	KLRF1	NM_016523.3	NP_057607.1
CLEC2B	CLEC2B	NM_005127.3	NP_005118.2
CLEC2A	CLEC2A	NM_001130711.2	NP_001124183.1
KLRF2	KLRF2	NM_001190765.1	NP_001177694.1
CLEC12A	CLEC12A	NM_138337.6	NP_612210.4
CLEC1B	CLEC1B	NM_016509.4	NP_057593.3
CLEC12B	CLEC12B	NM_001129998.3	NP_001123470.1
CLEC9A	CLEC9A	NM_207345.4	NP_997228.1
CLEC1A	CLEC1A	NM_016511.4	NP_057595.2
CLEC7A	CLEC7A	NM_197947.3	NP_922938.1
OLR1	OLR1	NM_002543.4	NP_002534.1
TMEM52B	TMEM52B	NM_001384896.1	NP_001371825.1
GABARAPL1	GABARAPL1	NM_031412.4	NP_113600.1
KLRD1	KLRD1	NM_002262.5	NP_002253.2
KLRK1	KLRK1	NM_007360.4	NP_031386.2
KLRC4	KLRC4	NM_013431.2	NP_038459.1
KLRC3	KLRC3	NM_002261.3	NP_002252.2
KLRC2	KLRC2	NM_002260.4	NP_002251.2
KLRC1	KLRC1	NM_002259.5	NP_002250.2
EIF2S3B	EIF2S3B	NM_001357734.3	NP_001344663.1
MAGOHB	MAGOHB	NM_018048.5	NP_060518.1
STYK1	STYK1	NM_018423.3	NP_060893.2
YBX3	YBX3	NM_003651.5	NP_003642.3
TAS2R7	TAS2R7	NM_023919.2	NP_076408.1
TAS2R8	TAS2R8	NM_023918.3	NP_076407.1
TAS2R9	TAS2R9	NM_023917.2	NP_076406.1
TAS2R10	TAS2R10	NM_023921.2	NP_076410.1
PRR4	PRR4	NM_007244.3	NP_009175.2
PRH1	PRH1	NM_001393989.1	NP_001380918.1
TAS2R13	TAS2R13	NM_023920.2	NP_076409.1
PRH2	PRH2	NM_001110213.1	NP_001103683.1
TAS2R14	TAS2R14	NM_023922.2	NP_076411.1
TAS2R50	TAS2R50	NM_176890.2	NP_795371.2
TAS2R20	TAS2R20	NM_176889.4	NP_795370.2
TAS2R19	TAS2R19	NM_176888.2	NP_795369.1
TAS2R31	TAS2R31	NM_176885.2	NP_795366.2
TAS2R46	TAS2R46	NM_176887.2	NP_795368.2
TAS2R43	TAS2R43	NM_176884.2	NP_795365.2
TAS2R30	TAS2R30	NM_001097643.2	NP_001091112.1
SMIM10L1	SMIM10L1	NM_001271592.2	NP_001258521.1
TAS2R42	TAS2R42	NM_181429.2	NP_852094.2
PRB3	PRB3	NM_001394862.1	NP_001381791.1
PRB4	PRB4	NM_002723.6	NP_002714.2
PRB2	PRB2	NM_006248.4	NP_006239.3
ETV6	ETV6	NM_001987.5	NP_001978.1
BCL2L14	BCL2L14	NM_138723.2	NP_620049.1
LRP6	LRP6	NM_002336.3	NP_002327.2
MANSC1	MANSC1	NM_018050.4	NP_060520.2
BORCS5	BORCS5	NM_058169.6	NP_477517.1
DUSP16	DUSP16	NM_030640.3	NP_085143.1
CREBL2	CREBL2	NM_001310.4	NP_001301.1
GPR19	GPR19	NM_006143.3	NP_006134.2
CDKN1B	CDKN1B	NM_004064.5	NP_004055.1
APOLD1	APOLD1	NM_030817.3	NP_110444.3
DDX47	DDX47	NM_016355.4	NP_057439.2
GPRC5A	GPRC5A	NM_003979.4	NP_003970.1
GPRC5D	GPRC5D	NM_018654.2	NP_061124.1
HEBP1	HEBP1	NM_015987.5	NP_057071.2
FAM234B	FAM234B	NM_020853.2	NP_065904.1
GSG1	GSG1	NM_001080555.4	NP_001074024.1
EMP1	EMP1	NM_001423.3	NP_001414.1
GRIN2B	GRIN2B	NM_000834.5	NP_000825.2
ATF7IP	ATF7IP	NM_018179.5	NP_060649.3
PLBD1	PLBD1	NM_024829.6	NP_079105.4
GUCY2C	GUCY2C	NM_004963.4	NP_004954.2
C12orf60	C12orf60	NM_175874.4	NP_787070.2
H4C16	H4C16	NM_175054.2	NP_778224.1
H2AJ	H2AJ	NM_177925.5	NP_808760.1
WBP11	WBP11	NM_016312.3	NP_057396.1
SMCO3	SMCO3	NM_001013698.2	NP_001013720.2
ART4	ART4	NM_021071.4	NP_066549.2
MGP	MGP	NM_000900.5	NP_000891.2
ERP27	ERP27	NM_152321.4	NP_689534.1
ARHGDIB	ARHGDIB	NM_001175.7	NP_001166.3
PDE6H	PDE6H	NM_006205.3	NP_006196.1
RERG	RERG	NM_032918.3	NP_116307.1
PTPRO	PTPRO	NM_030667.3	NP_109592.1
EPS8	EPS8	NM_004447.6	NP_004438.3
STRAP	STRAP	NM_007178.4	NP_009109.3
DERA	DERA	NM_015954.4	NP_057038.2
SLC15A5	SLC15A5	NM_001170798.1	NP_001164269.1
MGST1	MGST1	NM_020300.5	NP_064696.1
LMO3	LMO3	NM_018640.5	NP_061110.2
RERGL	RERGL	NM_001286201.2	NP_001273130.1
PIK3C2G	PIK3C2G	NM_001288772.2	NP_001275701.1
PLCZ1	PLCZ1	NM_033123.4	NP_149114.2
CAPZA3	CAPZA3	NM_033328.3	NP_201585.1
PLEKHA5	PLEKHA5	NM_001256470.2	NP_001243399.1
AEBP2	AEBP2	NM_153207.5	NP_694939.2
PDE3A	PDE3A	NM_000921.5	NP_000912.3
SLCO1C1	SLCO1C1	NM_017435.5	NP_059131.1
SLCO1B3	SLCO1B3	NM_019844.4	NP_062818.1
SLCO1B1	SLCO1B1	NM_006446.5	NP_006437.3
SLCO1A2	SLCO1A2	NM_001386879.1	NP_001373808.1
IAPP	IAPP	NM_000415.3	NP_000406.1
PYROXD1	PYROXD1	NM_024854.5	NP_079130.2
RECQL	RECQL	NM_002907.4	NP_002898.2
GOLT1B	GOLT1B	NM_016072.5	NP_057156.1
SPX	SPX	NM_030572.4	NP_085049.1
GYS2	GYS2	NM_021957.4	NP_068776.2
LDHB	LDHB	NM_002300.8	NP_002291.1
KCNJ8	KCNJ8	NM_004982.4	NP_004973.1
ABCC9	ABCC9	NM_020297.4	NP_064693.2
CMAS	CMAS	NM_018686.6	NP_061156.1
ST8SIA1	ST8SIA1	NM_003034.4	NP_003025.1
C2CD5	C2CD5	NM_001286176.2	NP_001273105.1
ETNK1	ETNK1	NM_018638.5	NP_061108.3
SOX5	SOX5	NM_006940.6	NP_008871.3
BCAT1	BCAT1	NM_005504.7	NP_005495.2
IRAG2	IRAG2	NM_001366544.2	NP_001353473.1
DNAI7	DNAI7	NM_018272.5	NP_060742.4
ETFRF1	ETFRF1	NM_001001660.3	NP_001001660.2
KRAS	KRAS	NM_004985.5	NP_004976.2
KRAS	KRAS	NM_033360.4	NP_203524.1
LMNTD1	LMNTD1	NM_001145728.2	NP_001139200.1
RASSF8	RASSF8	NM_001394098.1	NP_001381027.1
BHLHE41	BHLHE41	NM_030762.3	NP_110389.1
SSPN	SSPN	NM_005086.5	NP_005077.2
ITPR2	ITPR2	NM_002223.4	NP_002214.2
INTS13	INTS13	NM_018164.3	NP_060634.2
FGFR1OP2	FGFR1OP2	NM_015633.3	NP_056448.1
TM7SF3	TM7SF3	NM_016551.3	NP_057635.1
MED21	MED21	NM_004264.5	NP_004255.2
C12orf71	C12orf71	NM_001080406.2	NP_001073875.1
STK38L	STK38L	NM_015000.4	NP_055815.1
BMAL2	BMAL2	NM_020183.6	NP_064568.3
SMCO2	SMCO2	NM_001395208.2	NP_001382137.1
PPFIBP1	PPFIBP1	NM_003622.4	NP_003613.4
REP15	REP15	NM_001029874.3	NP_001025045.3
MRPS35	MRPS35	NM_021821.4	NP_068593.2
MANSC4	MANSC4	NM_001146221.5	NP_001139693.1
KLHL42	KLHL42	NM_020782.2	NP_065833.1
PTHLH	PTHLH	NM_198965.2	NP_945316.1
CCDC91	CCDC91	NM_018318.5	NP_060788.3
FAR2	FAR2	NM_001271783.2	NP_001258712.1
ERGIC2	ERGIC2	NM_016570.3	NP_057654.2
OVCH1	OVCH1	NM_001353179.2	NP_001340108.1
TMTC1	TMTC1	NM_001193451.2	NP_001180380.1
IPO8	IPO8	NM_006390.4	NP_006381.2
CAPRIN2	CAPRIN2	NM_001385503.1	NP_001372432.1
TSPAN11	TSPAN11	NM_001370302.1	NP_001357231.1
DDX11	DDX11	NM_030653.4	NP_085911.2
SINHCAF	SINHCAF	NM_001135812.2	NP_001129284.1
DENND5B	DENND5B	NM_144973.4	NP_659410.3
ETFBKMT	ETFBKMT	NM_001135863.2	NP_001129335.1
AMN1	AMN1	NM_001113402.2	NP_001106873.1
H3-5	H3-5	NM_001013699.3	NP_001013721.2
RESF1	RESF1	NM_018169.4	NP_060639.4
BICD1	BICD1	NM_001714.4	NP_001705.2
FGD4	FGD4	NM_001370298.3	NP_001357227.2
DNM1L	DNM1L	NM_001278464.2	NP_001265393.1
DNM1L	DNM1L	NM_012062.5	NP_036192.2
YARS2	YARS2	NM_001040436.3	NP_001035526.1
PKP2	PKP2	NM_001005242.3	NP_001005242.2
SYT10	SYT10	NM_198992.4	NP_945343.1
ALG10	ALG10	NM_032834.4	NP_116223.3
ALG10B	ALG10B	NM_001013620.4	NP_001013642.2
CPNE8	CPNE8	NM_153634.3	NP_705898.1
KIF21A	KIF21A	NM_001173464.2	NP_001166935.1
ABCD2	ABCD2	NM_005164.4	NP_005155.1
C12orf40	C12orf40	NM_001031748.4	NP_001026918.2
SLC2A13	SLC2A13	NM_052885.4	NP_443117.3
LRRK2	LRRK2	NM_198578.4	NP_940980.4
CNTN1	CNTN1	NM_001843.4	NP_001834.2
PDZRN4	PDZRN4	NM_001164595.2	NP_001158067.1
GXYLT1	GXYLT1	NM_173601.2	NP_775872.1
YAF2	YAF2	NM_005748.6	NP_005739.2
ZCRB1	ZCRB1	NM_033114.4	NP_149105.3
PPHLN1	PPHLN1	NM_201439.2	NP_958847.1
PRICKLE1	PRICKLE1	NM_153026.3	NP_694571.2
ADAMTS20	ADAMTS20	NM_025003.5	NP_079279.3
PUS7L	PUS7L	NM_031292.5	NP_112582.3
IRAK4	IRAK4	NM_016123.4	NP_057207.2
TWF1	TWF1	NM_002822.5	NP_002813.3
TMEM117	TMEM117	NM_032256.3	NP_115632.1
NELL2	NELL2	NM_001145108.2	NP_001138580.1
DBX2	DBX2	NM_001004329.3	NP_001004329.2
ANO6	ANO6	NM_001025356.3	NP_001020527.2
ARID2	ARID2	NM_152641.4	NP_689854.2
SCAF11	SCAF11	NM_004719.3	NP_004710.2
SLC38A1	SLC38A1	NM_030674.4	NP_109599.3
SLC38A2	SLC38A2	NM_018976.5	NP_061849.2
SLC38A4	SLC38A4	NM_018018.5	NP_060488.2
AMIGO2	AMIGO2	NM_001370299.1	NP_001357228.1
PCED1B	PCED1B	NM_138371.3	NP_612380.1
RPAP3	RPAP3	NM_024604.3	NP_078880.2
ENDOU	ENDOU	NM_001172439.2	NP_001165910.1
RAPGEF3	RAPGEF3	NM_001098531.4	NP_001092001.2
SLC48A1	SLC48A1	NM_017842.3	NP_060312.2
HDAC7	HDAC7	NM_015401.5	NP_056216.2
VDR	VDR	NM_000376.3	NP_000367.1
TMEM106C	TMEM106C	NM_001143842.2	NP_001137314.1
COL2A1	COL2A1	NM_001844.5	NP_001835.3
SENP1	SENP1	NM_001267594.2	NP_001254523.1
PFKM	PFKM	NM_000289.6	NP_000280.1
ASB8	ASB8	NM_024095.5	NP_077000.1
CCDC184	CCDC184	NM_001013635.4	NP_001013657.3
OR10AD1	OR10AD1	NM_001004134.1	NP_001004134.1
H1-7	H1-7	NM_181788.1	NP_861453.1
ZNF641	ZNF641	NM_001172681.2	NP_001166152.1
C12orf54	C12orf54	NM_152319.4	NP_689532.1
ANP32D	ANP32D	NM_012404.3	NP_036536.2
OR8S1	OR8S1	NM_001390849.1	NP_001377778.1
OR5BS1P	OR5BS1P	NM_001396061.1	NP_001382990.1
LALBA	LALBA	NM_002289.3	NP_002280.1
KANSL2	KANSL2	NM_017822.4	NP_060292.3
CCNT1	CCNT1	NM_001240.4	NP_001231.2
TEX49	TEX49	NM_001351123.2	NP_001338052.1
ADCY6	ADCY6	NM_015270.5	NP_056085.1
CACNB3	CACNB3	NM_000725.4	NP_000716.2
DDX23	DDX23	NM_004818.3	NP_004809.2
RND1	RND1	NM_014470.4	NP_055285.1
CCDC65	CCDC65	NM_033124.5	NP_149115.2
FKBP11	FKBP11	NM_016594.3	NP_057678.1
ARF3	ARF3	NM_001659.3	NP_001650.1
WNT10B	WNT10B	NM_003394.4	NP_003385.2
WNT1	WNT1	NM_005430.4	NP_005421.1
DDN	DDN	NM_015086.2	NP_055901.2
PRKAG1	PRKAG1	NM_002733.5	NP_002724.1
KMT2D	KMT2D	NM_003482.4	NP_003473.3
RHEBL1	RHEBL1	NM_144593.3	NP_653194.1
DHH	DHH	NM_021044.4	NP_066382.1
LMBR1L	LMBR1L	NM_018113.4	NP_060583.2
TUBA1B	TUBA1B	NM_006082.3	NP_006073.2
TUBA1A	TUBA1A	NM_006009.4	NP_006000.2
TUBA1C	TUBA1C	NM_032704.5	NP_116093.1
PRPH	PRPH	NM_006262.4	NP_006253.2
TROAP	TROAP	NM_005480.4	NP_005471.3
C1QL4	C1QL4	NM_001008223.2	NP_001008224.1
DNAJC22	DNAJC22	NM_001304944.2	NP_001291873.1
SPATS2	SPATS2	NM_023071.4	NP_075559.2
KCNH3	KCNH3	NM_012284.3	NP_036416.1
MCRS1	MCRS1	NM_006337.5	NP_006328.2
FAM186B	FAM186B	NM_032130.3	NP_115506.1
PRPF40B	PRPF40B	NM_001031698.3	NP_001026868.2
FMNL3	FMNL3	NM_175736.5	NP_783863.4
TMBIM6	TMBIM6	NM_003217.3	NP_003208.2
NCKAP5L	NCKAP5L	NM_001037806.4	NP_001032895.2
BCDIN3D	BCDIN3D	NM_181708.3	NP_859059.1
FAIM2	FAIM2	NM_012306.4	NP_036438.2
AQP2	AQP2	NM_000486.6	NP_000477.1
AQP5	AQP5	NM_001651.4	NP_001642.1
AQP6	AQP6	NM_001652.4	NP_001643.2
RACGAP1	RACGAP1	NM_001319999.2	NP_001306928.1
ASIC1	ASIC1	NM_001095.4	NP_001086.2
SMARCD1	SMARCD1	NM_003076.5	NP_003067.3
GPD1	GPD1	NM_005276.4	NP_005267.2
COX14	COX14	NM_032901.4	NP_116290.1
CERS5	CERS5	NM_147190.5	NP_671723.1
LIMA1	LIMA1	NM_016357.5	NP_057441.1
FAM186A	FAM186A	NM_001145475.3	NP_001138947.1
LARP4	LARP4	NM_052879.5	NP_443111.4
DIP2B	DIP2B	NM_173602.3	NP_775873.2
ATF1	ATF1	NM_005171.5	NP_005162.1
TMPRSS12	TMPRSS12	NM_182559.3	NP_872365.2
TMT1A	TMT1A	NM_014033.4	NP_054752.3
HIGD1C	HIGD1C	NM_001109619.4	NP_001103089.1
SLC11A2	SLC11A2	NM_000617.3	NP_000608.1
LETMD1	LETMD1	NM_015416.5	NP_056231.3
CSRNP2	CSRNP2	NM_030809.3	NP_110436.1
TFCP2	TFCP2	NM_005653.5	NP_005644.2
POU6F1	POU6F1	NM_001330422.2	NP_001317351.1
DAZAP2	DAZAP2	NM_014764.4	NP_055579.1
SMAGP	SMAGP	NM_001031628.2	NP_001026798.1
BIN2	BIN2	NM_016293.4	NP_057377.4
CELA1	CELA1	NM_001971.6	NP_001962.3
GALNT6	GALNT6	NM_007210.4	NP_009141.2
SLC4A8	SLC4A8	NM_001039960.3	NP_001035049.1
SCN8A	SCN8A	NM_014191.4	NP_055006.1
SCN8A	SCN8A	NM_001330260.2	NP_001317189.1
TMDD1	TMDD1	NM_001386737.1	NP_001373666.1
FIGNL2	FIGNL2	NM_001384995.1	NP_001371924.1
ANKRD33	ANKRD33	NM_182608.4	NP_872414.3
ACVRL1	ACVRL1	NM_000020.3	NP_000011.2
ACVR1B	ACVR1B	NM_004302.5	NP_004293.1
TAMALIN	TAMALIN	NM_181711.4	NP_859062.1
NR4A1	NR4A1	NM_173157.3	NP_775180.1
ATG101	ATG101	NM_021934.5	NP_068753.2
SMIM41	SMIM41	NM_001369216.1	NP_001356145.1
KRT80	KRT80	NM_182507.3	NP_872313.2
KRT7	KRT7	NM_005556.4	NP_005547.3
KRT86	KRT86	NM_001320198.2	NP_001307127.1
KRT81	KRT81	NM_002281.4	NP_002272.2
KRT83	KRT83	NM_002282.3	NP_002273.3
KRT85	KRT85	NM_002283.4	NP_002274.1
KRT84	KRT84	NM_033045.4	NP_149034.2
KRT82	KRT82	NM_033033.4	NP_149022.3
KRT75	KRT75	NM_004693.3	NP_004684.2
KRT6B	KRT6B	NM_005555.4	NP_005546.2
KRT6C	KRT6C	NM_173086.5	NP_775109.2
KRT6A	KRT6A	NM_005554.4	NP_005545.1
KRT5	KRT5	NM_000424.4	NP_000415.2
KRT71	KRT71	NM_033448.3	NP_258259.1
KRT74	KRT74	NM_175053.4	NP_778223.2
KRT72	KRT72	NM_080747.3	NP_542785.1
KRT73	KRT73	NM_175068.3	NP_778238.1
KRT2	KRT2	NM_000423.3	NP_000414.2
KRT1	KRT1	NM_006121.4	NP_006112.3
KRT77	KRT77	NM_175078.3	NP_778253.2
KRT76	KRT76	NM_015848.4	NP_056932.2
KRT3	KRT3	NM_057088.3	NP_476429.2
KRT4	KRT4	NM_002272.4	NP_002263.3
KRT79	KRT79	NM_175834.3	NP_787028.1
KRT78	KRT78	NM_173352.4	NP_775487.2
KRT8	KRT8	NM_002273.4	NP_002264.1
KRT18	KRT18	NM_000224.3	NP_000215.1
EIF4B	EIF4B	NM_001417.7	NP_001408.2
TNS2	TNS2	NM_170754.4	NP_736610.2
SPRYD3	SPRYD3	NM_032840.3	NP_116229.1
IGFBP6	IGFBP6	NM_002178.3	NP_002169.1
SOAT2	SOAT2	NM_003578.4	NP_003569.1
CSAD	CSAD	NM_001244705.2	NP_001231634.1
ZNF740	ZNF740	NM_001004304.4	NP_001004304.1
ITGB7	ITGB7	NM_000889.3	NP_000880.1
RARG	RARG	NM_000966.6	NP_000957.1
LOC122455340	LOC122455340	NM_001395962.1	NP_001382891.1
MFSD5	MFSD5	NM_032889.5	NP_116278.3
ESPL1	ESPL1	NM_012291.5	NP_036423.4
PFDN5	PFDN5	NM_002624.4	NP_002615.2
MYG1	MYG1	NM_021640.4	NP_067653.4
AAAS	AAAS	NM_015665.6	NP_056480.1
SP7	SP7	NM_001173467.3	NP_001166938.1
SP1	SP1	NM_138473.3	NP_612482.2
AMHR2	AMHR2	NM_020547.3	NP_065434.1
PRR13	PRR13	NM_018457.4	NP_060927.1
PCBP2	PCBP2	NM_031989.5	NP_114366.1
MAP3K12	MAP3K12	NM_001193511.2	NP_001180440.1
TARBP2	TARBP2	NM_134323.2	NP_599150.1
NPFF	NPFF	NM_003717.4	NP_003708.1
ATF7	ATF7	NM_006856.3	NP_006847.1
ATP5MC2	ATP5MC2	NM_005176.7	NP_005167.3
CALCOCO1	CALCOCO1	NM_020898.3	NP_065949.1
HOXC13	HOXC13	NM_017410.3	NP_059106.2
HOXC12	HOXC12	NM_173860.3	NP_776272.1
HOXC11	HOXC11	NM_014212.4	NP_055027.1
HOXC10	HOXC10	NM_017409.4	NP_059105.2
HOXC9	HOXC9	NM_006897.3	NP_008828.1
HOXC8	HOXC8	NM_022658.4	NP_073149.1
HOXC4	HOXC4	NM_153633.3	NP_705897.1
HOXC5	HOXC5	NM_018953.4	NP_061826.1
HOXC6	HOXC6	NM_004503.4	NP_004494.1
SMUG1	SMUG1	NM_001243787.2	NP_001230716.1
CBX5	CBX5	NM_012117.3	NP_036249.1
HNRNPA1	HNRNPA1	NM_031157.4	NP_112420.1
NFE2	NFE2	NM_001136023.3	NP_001129495.1
COPZ1	COPZ1	NM_016057.3	NP_057141.1
GPR84	GPR84	NM_020370.3	NP_065103.1
ZNF385A	ZNF385A	NM_015481.3	NP_056296.1
ITGA5	ITGA5	NM_002205.5	NP_002196.4
GTSF1	GTSF1	NM_144594.3	NP_653195.2
NCKAP1L	NCKAP1L	NM_005337.5	NP_005328.2
PDE1B	PDE1B	NM_000924.4	NP_000915.1
